SID,Run,Trial,RawOnset (ms),TROnset,Go/Stop,Stop,Z (s),Delay (s),Response,RT (s),Code,Duration (s),Jitter (ms),Mean (s),Trial Duration (s),Onset Difference (s),Trial Duration (ms),Onset Difference (ms),Latency (ms),,Block,Expected Block Duration (ms),Actual Block Duration (ms),Block Duration Difference (ms),Calculated Between-Trial Latency (ms),Remaining Within cycle() Latency (ms),Within cycle() Latency Per Trial (ms)
20130821T161643,3,25,110891.3179,44.3565,Go,0,,,,,4,2.1998,1498.4305,NaN,3.6982305,3.7163433,3698.2305,3716.3433,18.1128,,,,,,,,
20130821T161643,3,26,114607.6612,45.8431,Go,0,,,,,4,2.1998,2998.6119,NaN,5.1984119,5.2171463,5198.4119,5217.1463,18.7344,,,,,,,,
20130821T161643,3,27,119824.8075,47.9299,Stop,1,0.35,0.25,,,1,2.3498,1498.5287,NaN,3.8483287,3.8655339,3848.3287,3865.5339,17.2052,,,,,,,,
20130821T161643,3,28,123690.3414,49.4761,Go,0,,,,,4,2.1998,1498.3554,NaN,3.6981554,3.7153375,3698.1554,3715.3375,17.1821,,,,,,,,
20130821T161643,3,29,127405.6789,50.9623,Go,0,,,,,4,2.1998,1498.3246,NaN,3.6981246,3.7171193,3698.1246,3717.1193,18.9947,,,,,,,,
20130821T161643,3,30,131122.7982,52.4491,Go,0,,,,,4,2.1998,2498.3845,NaN,4.6981845,4.7165061,4698.1845,4716.5061,18.3216,,,,,,,,
20130821T161643,3,31,135839.3043,54.3357,Go,0,,,,,4,2.1998,1998.3188,NaN,4.1981188,4.2161703,4198.1188,4216.1703,18.0515,,,,,,,,
20130821T161643,3,32,140055.4746,56.0222,Go,0,,,,,4,2.1998,2498.3312,NaN,4.6981312,4.7164164,4698.1312,4716.4164,18.2852,,,,,,,,
20130821T161643,3,33,144771.891,57.9088,Go,0,,,,,4,2.1998,1998.3145,NaN,4.1981145,4.2161382,4198.1145,4216.1382,18.0237,,,,,,,,
20130821T161643,3,34,148988.0292,59.5952,Go,0,,,,,4,2.1998,1998.3559,NaN,4.1981559,4.216506,4198.1559,4216.506,18.3501,,,,,,,,
20130821T161643,3,35,153204.5352,61.2818,Go,0,,,,,4,2.1998,2498.3309,NaN,4.6981309,4.7169008,4698.1309,4716.9008,18.7699,,,,,,,,
20130821T161643,3,36,157921.436,63.1686,Stop,1,0.33333,0.26667,,,1,2.3331,3015.0097,NaN,5.3481097,5.3656711,5348.1097,5365.6711,17.5614,,,,,,,,
20130821T161643,3,37,163287.1071,65.3148,Go,0,,,,,4,2.1998,1998.3208,NaN,4.1981208,4.2161382,4198.1208,4216.1382,18.0174,,,,,,,,
20130821T161643,3,38,167503.2453,67.0013,Go,0,,,,,4,2.1998,1498.32,NaN,3.69812,3.7163429,3698.12,3716.3429,18.2229,,,,,,,,
20130821T161643,3,39,171219.5882,68.4878,Go,0,,,,,4,2.1998,1998.3514,NaN,4.1981514,4.2164421,4198.1514,4216.4421,18.2907,,,,,,,,
20130821T161643,3,40,175436.0303,70.1744,Go,0,,,,,4,2.1998,1498.3352,NaN,3.6981352,3.7170928,3698.1352,3717.0928,18.9576,,,,,,,,
20130821T161643,3,41,179153.1231,71.6612,Stop,1,0.33333,0.26667,,,1,2.3331,3015.046,NaN,5.348146,5.365547,5348.146,5365.547,17.401,,,,,,,,
