SID,Run,Trial,RawOnset (ms),TROnset,Go/Stop,Stop,Z (s),Delay (s),Response,RT (s),Code,Duration (s),Jitter (ms),Mean (s),Trial Duration (s),Onset Difference (s),Trial Duration (ms),Onset Difference (ms),Latency (ms),,Block,Expected Block Duration (ms),Actual Block Duration (ms),Block Duration Difference (ms),Calculated By-Trial Latency (ms),Total Outside cycle() Latency (ms),Outside cycle() Latency Per Trial (ms)
20130820T151145,2,9,43298.4751,17.3194,Go,0,,,,,4,2.2164,2650.3185,NaN,4.8667185,4.8830306,4866.7185,4883.0306,16.3121,,,,,,,,
20130820T151145,2,10,48181.5057,19.2726,Go,0,,,,,4,2.2164,1650.3251,NaN,3.8667251,3.8835308,3866.7251,3883.5308,16.8057,,,,,,,,
20130820T151145,2,11,52065.0365,20.826,Stop,1,0.35,0.25,,,1,2.3665,2000.3395,NaN,4.3668395,4.3824962,4366.8395,4382.4962,15.6567,,,,,,,,
20130820T151145,2,12,56447.5327,22.579,Go,0,,,,,4,2.2164,1650.3185,NaN,3.8667185,3.8828836,3866.7185,3882.8836,16.1651,,,,,,,,
20130820T151145,2,13,60330.4163,24.1322,Go,0,,,,,4,2.2165,1650.3549,NaN,3.8668549,3.8830419,3866.8549,3883.0419,16.187,,,,,,,,
20130820T151145,2,14,64213.4582,25.6854,Go,0,,,,,4,2.2164,2150.3309,NaN,4.3667309,4.3837518,4366.7309,4383.7518,17.0209,,,,,,,,
20130820T151145,2,15,68597.21,27.4389,Stop,1,0.33333,0.23333,,,1,2.3498,2016.9948,NaN,4.3667948,4.3822872,4366.7948,4382.2872,15.4924,,,,,,,,
20130820T151145,2,16,72979.4972,29.1918,Go,0,,,,,4,2.2165,1650.367,NaN,3.866867,3.8829889,3866.867,3882.9889,16.1219,,,,,,,,
20130820T151145,2,17,76862.4861,30.745,Go,0,,,,,4,2.2165,1650.3274,NaN,3.8668274,3.8829946,3866.8274,3882.9946,16.1672,,,,,,,,
20130820T151145,2,18,80745.4807,32.2982,Go,0,,,,,4,2.2165,2650.458,NaN,4.866958,4.8831451,4866.958,4883.1451,16.1871,,,,,,,,
20130820T151145,2,19,85628.6258,34.2515,Go,0,,,,,4,2.2165,2650.3628,NaN,4.8668628,4.8828317,4866.8628,4882.8317,15.9689,,,,,,,,
20130820T151145,2,20,90511.4575,36.2046,Go,0,,,,,4,2.2164,2150.3203,NaN,4.3667203,4.3828722,4366.7203,4382.8722,16.1519,,,,,,,,
20130820T151145,2,21,94894.3297,37.9577,Go,0,,,,,4,2.2165,2650.3616,NaN,4.8668616,4.8830372,4866.8616,4883.0372,16.1756,,,,,,,,
20130820T151145,2,22,99777.3669,39.9109,Go,0,,,,,4,2.2165,2150.5994,NaN,4.3670994,4.3831715,4367.0994,4383.1715,16.0721,,,,,,,,
20130820T151145,2,23,104160.5384,41.6642,Go,0,,,,,4,2.2165,3150.3153,NaN,5.3668153,5.3826868,5366.8153,5382.6868,15.8715,,,,,,,,
20130820T151145,2,24,109543.2252,43.8173,Go,0,,,,,4,2.2165,2650.3468,NaN,4.8668468,4.8829426,4866.8468,4882.9426,16.0958,,,,,,,,
20130820T151145,2,25,114426.1678,45.7705,Go,0,,,,,4,2.2164,1650.3201,NaN,3.8667201,3.882878,3866.7201,3882.878,16.1579,,,,,,,,
20130820T151145,2,26,118309.0458,47.3236,Go,0,,,,,4,2.2165,3150.3674,NaN,5.3668674,5.3838309,5366.8674,5383.8309,16.9635,,,,,,,,
20130820T151145,2,27,123692.8767,49.4772,Stop,1,0.36667,0.26667,,,1,2.3831,1483.6533,NaN,3.8667533,3.8823106,3866.7533,3882.3106,15.5573,,,,,,,,
20130820T151145,2,28,127575.1873,51.0301,Go,0,,,,,4,2.2165,1650.4356,NaN,3.8669356,3.8829306,3866.9356,3882.9306,15.995,,,,,,,,
20130820T151145,2,29,131458.1179,52.5832,Go,0,,,,,4,2.2164,1650.3195,NaN,3.8667195,3.8828638,3866.7195,3882.8638,16.1443,,,,,,,,
20130820T151145,2,30,135340.9817,54.1364,Go,0,,,,,4,2.2164,2650.3469,NaN,4.8667469,4.8830247,4866.7469,4883.0247,16.2778,,,,,,,,
20130820T151145,2,31,140224.0064,56.0896,Go,0,,,,,4,2.2165,2150.4249,NaN,4.3669249,4.3830794,4366.9249,4383.0794,16.1545,,,,,,,,
20130820T151145,2,32,144607.0858,57.8428,Go,0,,,,,4,2.2165,2650.4366,NaN,4.8669366,4.8829939,4866.9366,4882.9939,16.0573,,,,,,,,
20130820T151145,2,33,149490.0797,59.796,Go,0,,,,,4,2.2165,2150.5331,NaN,4.3670331,4.383143,4367.0331,4383.143,16.1099,,,,,,,,
20130820T151145,2,34,153873.2227,61.5493,Go,0,,,,,4,2.2165,2150.4773,NaN,4.3669773,4.384313,4366.9773,4384.313,17.3357,,,,,,,,
20130820T151145,2,35,158257.5357,63.303,Go,0,,,,,4,2.2165,2650.4833,NaN,4.8669833,4.881467,4866.9833,4881.467,14.4837,,,,,,,,
20130820T151145,2,36,163139.0027,65.2556,Go,0,,,,,4,2.2164,3150.3302,NaN,5.3667302,5.3826981,5366.7302,5382.6981,15.9679,,,,,,,,
20130820T151145,2,37,168521.7008,67.4087,Go,0,,,,,4,2.2164,2150.3256,NaN,4.3667256,4.3828904,4366.7256,4382.8904,16.1648,,,,,,,,
20130820T151145,2,38,172904.5912,69.1618,Go,0,,,,,4,2.2165,1650.3326,NaN,3.8668326,3.8836977,3866.8326,3883.6977,16.8651,,,,,,,,
20130820T151145,2,39,176788.2889,70.7153,Stop,1,0.36667,0.26667,,,1,2.3831,1983.6879,NaN,4.3667879,4.382951,4366.7879,4382.951,16.1631,,,,,,,,
20130820T151145,2,40,181171.2399,72.4685,Stop,1,0.35,0.25,,,1,2.3665,1500.3144,NaN,3.8668144,3.8823926,3866.8144,3882.3926,15.5782,,,,,,,,
20130820T151145,2,41,185053.6325,74.0215,Go,0,,,,,4,2.2165,3150.3649,NaN,5.3668649,5.3832771,5366.8649,5383.2771,16.4122,,,,,,,,
20130820T151145,2,42,190436.9096,76.1748,Go,0,,,,,4,2.2165,2650.3671,NaN,4.8668671,4.8833015,4866.8671,4883.3015,16.4344,,,,,,,,
20130820T151145,2,43,195320.2111,78.1281,Stop,1,0.35,0.25,,,1,2.3664,2000.3129,NaN,4.3667129,4.382272,4366.7129,4382.272,15.5591,,,,,,,,
20130820T151145,2,44,199702.4831,79.881,Go,0,,,,,4,2.2164,1650.3188,NaN,3.8667188,3.8829213,3866.7188,3882.9213,16.2025,,,,,,,,
20130820T151145,2,45,203585.4044,81.4342,Go,0,,,,,4,2.2165,2650.3205,NaN,4.8668205,4.883708,4866.8205,4883.708,16.8875,,,,,,,,
20130820T151145,2,46,208469.1124,83.3876,Stop,1,0.35,0.25,,,1,2.3664,2500.3147,NaN,4.8667147,4.8822559,4866.7147,4882.2559,15.5412,,,,,,,,
20130820T151145,2,47,213351.3683,85.3405,Go,0,,,,,4,2.2165,2150.4975,NaN,4.3669975,4.3837883,4366.9975,4383.7883,16.7908,,,,,,,,
20130820T151145,2,48,217735.1566,87.0941,Stop,1,0.36667,0.26667,,,1,2.3831,2483.6493,NaN,4.8667493,4.8821235,4866.7493,4882.1235,15.3742,,,,,,,,
20130820T151145,2,49,222617.2801,89.0469,Go,0,,,,,4,2.2165,2650.4248,NaN,4.8669248,4.8830677,4866.9248,4883.0677,16.1429,,,,,,,,
20130820T151145,2,50,227500.3478,91.0001,Go,0,,,,,4,2.2165,1650.4785,NaN,3.8669785,,3866.9785,,,,,,,,,,
20130820T151145,3,1,5754.792,2.3019,Go,0,,,,,4,2.2164,3150.3435,NaN,5.3667435,5.3809844,5366.7435,5380.9844,14.2409,,,,,,,,
20130820T151145,3,2,11135.7764,4.4543,Stop,1,0.36667,0.26667,,,1,2.3831,2483.9316,NaN,4.8670316,4.8823702,4867.0316,4882.3702,15.3386,,,,,,,,
20130820T151145,3,3,16018.1466,6.4073,Go,0,,,,,4,2.2165,2150.3368,NaN,4.3668368,4.3827017,4366.8368,4382.7017,15.8649,,,,,,,,
20130820T151145,3,4,20400.8483,8.1603,Go,0,,,,,4,2.2165,1650.3258,NaN,3.8668258,3.8829217,3866.8258,3882.9217,16.0959,,,,,,,,
20130820T151145,3,5,24283.77,9.7135,Go,0,,,,,4,2.2164,2650.3138,NaN,4.8667138,4.8831332,4866.7138,4883.1332,16.4194,,,,,,,,
20130820T151145,3,6,29166.9032,11.6668,Go,0,,,,,4,2.2165,2650.3569,NaN,4.8668569,4.882886,4866.8569,4882.886,16.0291,,,,,,,,
20130820T151145,3,7,34049.7892,13.6199,Go,0,,,,,4,2.2165,2150.4006,NaN,4.3669006,4.3828841,4366.9006,4382.8841,15.9835,,,,,,,,
20130820T151145,3,8,38432.6733,15.3731,Go,0,,,,,4,2.2165,2650.3677,NaN,4.8668677,4.8829806,4866.8677,4882.9806,16.1129,,,,,,,,
20130820T151145,3,9,43315.6539,17.3263,Go,0,,,,,4,2.2164,2650.3357,NaN,4.8667357,4.8828691,4866.7357,4882.8691,16.1334,,,,,,,,
20130820T151145,3,10,48198.523,19.2794,Go,0,,,,,4,2.2165,1650.3215,NaN,3.8668215,3.8829266,3866.8215,3882.9266,16.1051,,,,,,,,
20130820T151145,3,11,52081.4496,20.8326,Go,0,,,,,4,2.2165,2150.3304,NaN,4.3668304,4.3831126,4366.8304,4383.1126,16.2822,,,,,,,,
20130820T151145,3,12,56464.5622,22.5858,Go,0,,,,,4,2.2164,1650.3205,NaN,3.8667205,3.8828469,3866.7205,3882.8469,16.1264,,,,,,,,
20130820T151145,3,13,60347.4091,24.139,Go,0,,,,,4,2.2165,1650.4223,NaN,3.8669223,3.8832892,3866.9223,3883.2892,16.3669,,,,,,,,
20130820T151145,3,14,64230.6983,25.6923,Go,0,,,,,4,2.2165,2150.3814,NaN,4.3668814,4.3835648,4366.8814,4383.5648,16.6834,,,,,,,,
20130820T151145,3,15,68614.2631,27.4457,Stop,1,0.33333,0.23333,,,1,2.3498,2017.0057,NaN,4.3668057,4.382937,4366.8057,4382.937,16.1313,,,,,,,,
20130820T151145,3,16,72997.2001,29.1989,Stop,1,0.33333,0.23333,,,1,2.3497,1516.9847,NaN,3.8666847,3.8828108,3866.6847,3882.8108,16.1261,,,,,,,,
20130820T151145,3,17,76880.0109,30.752,Stop,1,0.36667,0.26667,,,1,2.3831,1483.7835,NaN,3.8668835,3.882644,3866.8835,3882.644,15.7605,,,,,,,,
20130820T151145,3,18,80762.6549,32.3051,Go,0,,,,,4,2.2165,2650.4593,NaN,4.8669593,4.8835295,4866.9593,4883.5295,16.5702,,,,,,,,
20130820T151145,3,19,85646.1844,34.2585,Stop,1,0.35,0.25,,,1,2.3664,2500.3193,NaN,4.8667193,5.082182,4866.7193,5082.182,215.4627,,,,,,,,
20130820T151145,3,20,90728.3664,36.2913,Go,0,,,,,4,2.2165,2150.3864,NaN,4.3668864,4.3830523,4366.8864,4383.0523,16.1659,,,,,,,,
20130820T151145,3,21,95111.4187,38.0446,Go,0,,,,,4,2.2164,2650.3191,NaN,4.8667191,4.8828452,4866.7191,4882.8452,16.1261,,,,,,,,
20130820T151145,3,22,99994.2639,39.9977,Go,0,,,,,4,2.2165,2150.4345,NaN,4.3669345,4.3830685,4366.9345,4383.0685,16.134,,,,,,,,
20130820T151145,3,23,104377.3324,41.7509,Go,0,,,,,4,2.2165,3150.3163,NaN,5.3668163,5.3829232,5366.8163,5382.9232,16.1069,,,,,,,,
20130820T151145,3,24,109760.2556,43.9041,Go,0,,,,,4,2.2165,2650.3791,NaN,4.8668791,4.8835825,4866.8791,4883.5825,16.7034,,,,,,,,
20130820T151145,3,25,114643.8381,45.8575,Stop,1,0.35,0.25,,,1,2.3664,1500.3163,NaN,3.8667163,3.8820825,3866.7163,3882.0825,15.3662,,,,,,,,
20130820T151145,3,26,118525.9206,47.4104,Go,0,,,,,4,2.2165,3150.4914,NaN,5.3669914,5.3841018,5366.9914,5384.1018,17.1104,,,,,,,,
20130820T151145,3,27,123910.0224,49.564,Stop,1,0.36667,0.26667,,,1,2.3831,1483.6483,NaN,3.8667483,3.8818996,3866.7483,3881.8996,15.1513,,,,,,,,
20130820T151145,3,28,127791.922,51.1168,Go,0,,,,,4,2.2164,1650.3178,NaN,3.8667178,3.8831303,3866.7178,3883.1303,16.4125,,,,,,,,
20130820T151145,3,29,131675.0523,52.67,Go,0,,,,,4,2.2165,1650.3158,NaN,3.8668158,3.88312,3866.8158,3883.12,16.3042,,,,,,,,
20130820T151145,3,30,135558.1723,54.2233,Go,0,,,,,4,2.2165,2650.3297,NaN,4.8668297,4.8828562,4866.8297,4882.8562,16.0265,,,,,,,,
20130820T151145,3,31,140441.0285,56.1764,Go,0,,,,,4,2.2165,2150.3725,NaN,4.3668725,4.3829791,4366.8725,4382.9791,16.1066,,,,,,,,
20130820T151145,3,32,144824.0076,57.9296,Go,0,,,,,4,2.2165,2650.515,NaN,4.867015,4.8837851,4867.015,4883.7851,16.7701,,,,,,,,
20130820T151145,3,33,149707.7927,59.8831,Stop,1,0.33333,0.23333,,,1,2.3498,2017.0266,NaN,4.3668266,4.3821515,4366.8266,4382.1515,15.3249,,,,,,,,
20130820T151145,3,34,154089.9442,61.636,Go,0,,,,,4,2.2165,2150.319,NaN,4.366819,4.3828778,4366.819,4382.8778,16.0588,,,,,,,,
20130820T151145,3,35,158472.822,63.3891,Go,0,,,,,4,2.2165,2650.4212,NaN,4.8669212,4.8830816,4866.9212,4883.0816,16.1604,,,,,,,,
20130820T151145,3,36,163355.9036,65.3424,Go,0,,,,,4,2.2164,3150.3488,NaN,5.3667488,5.3828199,5366.7488,5382.8199,16.0711,,,,,,,,
20130820T151145,3,37,168738.7235,67.4955,Go,0,,,,,4,2.2164,2150.3114,NaN,4.3667114,4.3828981,4366.7114,4382.8981,16.1867,,,,,,,,
20130820T151145,3,38,173121.6216,69.2486,Go,0,,,,,4,2.2164,1650.339,NaN,3.866739,3.8829816,3866.739,3882.9816,16.2426,,,,,,,,
20130820T151145,3,39,177004.6032,70.8018,Go,0,,,,,4,2.2164,2150.3219,NaN,4.3667219,4.3829993,4366.7219,4382.9993,16.2774,,,,,,,,
20130820T151145,3,40,181387.6025,72.555,Go,0,,,,,4,2.2164,1650.3347,NaN,3.8667347,3.8829757,3866.7347,3882.9757,16.241,,,,,,,,
20130820T151145,3,41,185270.5782,74.1082,Go,0,,,,,4,2.2165,3150.448,NaN,5.366948,5.3831533,5366.948,5383.1533,16.2053,,,,,,,,
20130820T151145,3,42,190653.7315,76.2615,Go,0,,,,,4,2.2165,2650.4285,NaN,4.8669285,4.8829068,4866.9285,4882.9068,15.9783,,,,,,,,
20130820T151145,3,43,195536.6383,78.2147,Go,0,,,,,4,2.2165,2150.3167,NaN,4.3668167,4.3828165,4366.8167,4382.8165,15.9998,,,,,,,,
